order_id,date,item_name,item_type,item_price,quantity,transaction_amount,transaction_type,received_by,time_of_sale
1,07-03-2022,Aalopuri,Fastfood,20,13,260,,M,Night
2,8/23/2022,Vadapav,Fastfood,20,15,300,Cash,M,Afternoon
3,11/20/2022,Vadapav,Fastfood,20,1,20,Cash,M,Afternoon
4,02-03-2023,Sugarcane juice,Beverages,25,6,150,Online,M,Night
5,10-02-2022,Sugarcane juice,Beverages,25,8,200,Online,M,Evening
6,11/14/2022,Vadapav,Fastfood,20,10,200,Cash,M,Evening
7,05-03-2022,Sugarcane juice,Beverages,25,9,225,Cash,M,Evening
8,12/22/2022,Panipuri,Fastfood,20,14,280,Online,M,Night
9,06-10-2022,Panipuri,Fastfood,20,1,20,Cash,F,Morning
10,9/16/2022,Panipuri,Fastfood,20,5,100,Online,M,Afternoon
11,12-01-2022,Frankie,Fastfood,50,8,400,Online,F,Afternoon
12,07-12-2022,Vadapav,Fastfood,20,8,160,Online,F,Night
13,12/22/2022,Panipuri,Fastfood,20,9,180,Online,F,Afternoon
14,11/25/2022,Frankie,Fastfood,50,4,200,Online,M,Morning
15,02-03-2023,Aalopuri,Fastfood,20,3,60,Cash,F,Evening
16,4/14/2022,Sandwich,Fastfood,60,11,660,,F,Midnight
17,10/16/2022,Panipuri,Fastfood,20,11,220,Cash,F,Morning
18,11-05-2022,Panipuri,Fastfood,20,10,200,Cash,F,Night
19,8/22/2022,Panipuri,Fastfood,20,11,220,Cash,F,Night
20,9/15/2022,Cold coffee,Beverages,40,10,400,Online,M,Night
21,12/21/2022,Cold coffee,Beverages,40,15,600,Cash,M,Evening
22,10-04-2022,Sugarcane juice,Beverages,25,12,300,Online,M,Evening
23,5/26/2022,Sandwich,Fastfood,60,3,180,Online,M,Midnight
24,02-11-2023,Sugarcane juice,Beverages,25,10,250,Online,M,Afternoon
25,8/31/2022,Sandwich,Fastfood,60,1,60,Online,F,Evening
26,8/18/2022,Sugarcane juice,Beverages,25,4,100,Cash,M,Afternoon
27,10-12-2022,Cold coffee,Beverages,40,11,440,Online,F,Afternoon
28,01-06-2023,Cold coffee,Beverages,40,10,400,Online,F,Afternoon
29,02-10-2023,Sugarcane juice,Beverages,25,9,225,Online,M,Afternoon
30,1/28/2023,Frankie,Fastfood,50,2,100,Cash,F,Night
31,9/14/2022,Cold coffee,Beverages,40,13,520,Online,F,Evening
32,05-06-2022,Aalopuri,Fastfood,20,4,80,,M,Morning
33,02-05-2023,Aalopuri,Fastfood,20,13,260,Online,M,Night
34,02-04-2023,Frankie,Fastfood,50,12,600,Online,F,Evening
35,5/22/2022,Vadapav,Fastfood,20,8,160,Cash,M,Morning
36,07-02-2022,Cold coffee,Beverages,40,10,400,Online,M,Afternoon
37,01-05-2023,Frankie,Fastfood,50,10,500,Cash,M,Night
38,03-08-2023,Panipuri,Fastfood,20,12,240,Online,F,Night
39,5/14/2022,Vadapav,Fastfood,20,2,40,Online,M,Evening
40,02-05-2023,Sandwich,Fastfood,60,5,300,Online,F,Night
41,11/13/2022,Cold coffee,Beverages,40,11,440,,M,Afternoon
42,05-09-2022,Aalopuri,Fastfood,20,8,160,Online,F,Night
43,5/26/2022,Vadapav,Fastfood,20,1,20,Cash,M,Night
44,8/28/2022,Cold coffee,Beverages,40,12,480,Cash,M,Evening
45,8/15/2022,Sugarcane juice,Beverages,25,6,150,Cash,F,Afternoon
46,05-07-2022,Vadapav,Fastfood,20,7,140,Cash,M,Evening
47,07-10-2022,Sandwich,Fastfood,60,7,420,,M,Morning
48,2/23/2023,Sandwich,Fastfood,60,14,840,Online,M,Afternoon
49,11-06-2022,Frankie,Fastfood,50,4,200,Online,F,Morning
50,11-02-2022,Vadapav,Fastfood,20,8,160,Cash,F,Midnight
51,5/16/2022,Frankie,Fastfood,50,15,750,Online,F,Morning
52,3/16/2023,Sugarcane juice,Beverages,25,12,300,Cash,F,Midnight
53,7/26/2022,Aalopuri,Fastfood,20,13,260,Cash,M,Afternoon
54,12/28/2022,Panipuri,Fastfood,20,14,280,Online,F,Morning
55,05-07-2022,Sandwich,Fastfood,60,10,600,Cash,M,Night
56,11/23/2022,Panipuri,Fastfood,20,11,220,Cash,F,Midnight
57,08-04-2022,Panipuri,Fastfood,20,14,280,Online,F,Morning
58,02-03-2023,Vadapav,Fastfood,20,6,120,Online,F,Morning
59,07-01-2022,Vadapav,Fastfood,20,5,100,Cash,M,Morning
60,06-11-2022,Cold coffee,Beverages,40,2,80,Online,M,Night
61,12/25/2022,Vadapav,Fastfood,20,14,280,Cash,F,Afternoon
62,10/17/2022,Sugarcane juice,Beverages,25,3,75,Cash,M,Afternoon
63,12-01-2022,Sandwich,Fastfood,60,7,420,Online,F,Morning
64,12-09-2022,Cold coffee,Beverages,40,1,40,Cash,M,Morning
65,7/25/2022,Aalopuri,Fastfood,20,4,80,Cash,M,Morning
66,04-05-2022,Frankie,Fastfood,50,2,100,Cash,F,Morning
67,5/15/2022,Aalopuri,Fastfood,20,9,180,Cash,M,Midnight
68,12/17/2022,Cold coffee,Beverages,40,2,80,,M,Night
69,01-10-2023,Vadapav,Fastfood,20,7,140,Cash,M,Midnight
70,05-09-2022,Cold coffee,Beverages,40,14,560,,F,Morning
71,12-05-2022,Cold coffee,Beverages,40,6,240,Online,M,Night
72,03-09-2023,Frankie,Fastfood,50,13,650,Online,M,Afternoon
73,7/29/2022,Panipuri,Fastfood,20,5,100,Cash,M,Midnight
74,8/15/2022,Cold coffee,Beverages,40,10,400,Online,F,Evening
75,02-02-2023,Cold coffee,Beverages,40,6,240,Online,F,Afternoon
76,8/17/2022,Vadapav,Fastfood,20,9,180,Online,M,Morning
77,02-04-2023,Sugarcane juice,Beverages,25,12,300,Cash,F,Midnight
78,10-01-2022,Vadapav,Fastfood,20,4,80,Cash,F,Evening
79,11-05-2022,Panipuri,Fastfood,20,6,120,Online,M,Night
80,5/24/2022,Frankie,Fastfood,50,13,650,Cash,M,Evening
81,11/19/2022,Frankie,Fastfood,50,12,600,Online,F,Night
82,7/17/2022,Frankie,Fastfood,50,3,150,Online,F,Evening
83,11/13/2022,Frankie,Fastfood,50,11,550,,M,Evening
84,03-03-2023,Panipuri,Fastfood,20,13,260,Cash,M,Midnight
85,8/19/2022,Aalopuri,Fastfood,20,3,60,Online,F,Night
86,03-09-2023,Aalopuri,Fastfood,20,15,300,Cash,M,Morning
87,5/29/2022,Aalopuri,Fastfood,20,8,160,Cash,M,Night
88,07-07-2022,Cold coffee,Beverages,40,10,400,Cash,M,Evening
89,12/23/2022,Aalopuri,Fastfood,20,14,280,Cash,M,Evening
90,10/29/2022,Vadapav,Fastfood,20,15,300,Online,M,Night
91,3/22/2023,Cold coffee,Beverages,40,6,240,,F,Evening
92,5/13/2022,Aalopuri,Fastfood,20,15,300,Cash,M,Afternoon
93,07-03-2022,Cold coffee,Beverages,40,2,80,Online,F,Midnight
94,9/14/2022,Aalopuri,Fastfood,20,15,300,,F,Night
95,05-12-2022,Sugarcane juice,Beverages,25,8,200,Online,M,Night
96,8/22/2022,Sandwich,Fastfood,60,15,900,,M,Morning
97,3/29/2023,Cold coffee,Beverages,40,13,520,Online,M,Evening
98,12/24/2022,Vadapav,Fastfood,20,1,20,Online,M,Morning
99,09-11-2022,Sugarcane juice,Beverages,25,3,75,Cash,M,Evening
100,05-08-2022,Panipuri,Fastfood,20,11,220,,M,Morning
101,3/26/2023,Vadapav,Fastfood,20,3,60,Online,F,Morning
102,3/13/2023,Cold coffee,Beverages,40,14,560,Cash,M,Morning
103,3/14/2023,Cold coffee,Beverages,40,8,320,Online,F,Midnight
